Timestamp,Event,Path
2023-09-02 12:58:05,modified,C:/Users/Asus\AppData\Local\Google\Chrome\User Data\Profile 1\Network\Reporting and NEL-journal
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Google\Chrome\User Data\Profile 1\Network\Reporting and NEL-journal
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Google\Chrome\User Data\Profile 1\Network\Reporting and NEL
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Google\Chrome\User Data\Profile 1\Network\Reporting and NEL-journal
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,created,C:/Users/Asus\AppData\Local\Temp\7t6k3cap
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp\7t6k3cap
2023-09-02 12:58:06,deleted,C:/Users/Asus\AppData\Local\Temp\7t6k3cap
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.2y60qjcl
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.2y60qjcl
2023-09-02 12:58:06,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.2y60qjcl
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.f8t7sc5n
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.f8t7sc5n
2023-09-02 12:58:06,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.f8t7sc5n
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.8xtgll25
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.8xtgll25
2023-09-02 12:58:06,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.8xtgll25
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.yjjmyb42
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.yjjmyb42
2023-09-02 12:58:06,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.yjjmyb42
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.hr8q1wvo
2023-09-02 12:58:06,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:06,Security Breach,C:/Users/Asus\AppData\Local\Temp\openpyxl.hr8q1wvo
2023-09-02 12:58:07,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.hr8q1wvo
2023-09-02 12:58:07,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:07,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.ucgjs1_w
2023-09-02 12:58:07,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:07,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.ucgjs1_w
2023-09-02 12:58:07,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.ucgjs1_w
2023-09-02 12:58:07,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:07,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.j4b2vk2m
2023-09-02 12:58:07,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:07,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.j4b2vk2m
2023-09-02 12:58:07,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.j4b2vk2m
2023-09-02 12:58:07,Security Breach,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:08,Security Breach,C:/Users/Asus\AppData\Local\Temp\openpyxl.q_trj8xk
2023-09-02 12:58:09,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:09,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.q_trj8xk
2023-09-02 12:58:09,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.q_trj8xk
2023-09-02 12:58:09,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:09,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.jri0z3rf
2023-09-02 12:58:09,Security Breach,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:10,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.jri0z3rf
2023-09-02 12:58:10,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.jri0z3rf
2023-09-02 12:58:10,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:10,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.e5cc09tr
2023-09-02 12:58:10,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:10,modified,C:/Users/Asus\AppData\Local\Temp\openpyxl.e5cc09tr
2023-09-02 12:58:10,deleted,C:/Users/Asus\AppData\Local\Temp\openpyxl.e5cc09tr
2023-09-02 12:58:10,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:10,created,C:/Users/Asus\AppData\Local\Temp\openpyxl.cw5nzpuh
2023-09-02 12:58:10,modified,C:/Users/Asus\AppData\Local\Temp
2023-09-02 12:58:10,Security Breach,C:/Users/Asus\AppData\Local\Temp\openpyxl.cw5nzpuh
